date,daily_happiness
2019-12-31,5.557872340425529
2020-01-01,5.517699999999987
2020-01-02,5.506743902438992
2020-01-03,5.428413719185415
2020-01-04,5.4896468213925385
2020-01-05,5.517678983833718
2020-01-06,5.460449438202249
2020-01-07,5.4846024878312765
2020-01-08,5.430376797223601
2020-01-09,5.453780903665816
2020-01-10,5.5177455621301785
2020-01-11,5.468593155893532
2020-01-12,5.483839935327408
2020-01-13,5.479584926269805
2020-01-14,5.501832529592282
2020-01-15,5.454599068804972
2020-01-16,5.490434979610323
2020-01-17,5.509105691056911
2020-01-18,5.515400432900439
2020-01-19,5.546198198198198
2020-01-20,5.4863434343434205
2020-01-21,5.470194834617122
2020-01-22,5.4853342366756905
2020-01-23,5.477121001390805
2020-01-24,5.456926942404266
2020-01-25,5.44508405501784
2020-01-26,5.452217680122659
2020-01-27,5.428373854125089
2020-01-28,5.434192307692293
2020-01-29,5.434641350210982
2020-01-30,5.456209433145821
2020-01-31,5.452242647058824
2020-02-01,5.427560652845173
2020-02-02,5.420366047745364
2020-02-03,5.430365944734882
2020-02-04,5.447758738862228
2020-02-05,5.495351068469254
2020-02-06,5.50244052863437
2020-02-07,5.48862711864408
2020-02-08,5.506877530364379
2020-02-09,5.481120293847567
2020-02-10,5.482596357475651
2020-02-11,5.48312992800815
2020-02-12,5.464610962054411
2020-02-13,5.4398540145985335
2020-02-14,5.484806312768997
2020-02-15,5.497444624527275
2020-02-16,5.4851251489868895
2020-02-17,5.455041322314043
2020-02-18,5.4539034072113735
2020-02-19,5.454219148161623
2020-02-20,5.448160409556317
2020-02-21,5.490516795865617
2020-02-22,5.484683641975321
2020-02-23,5.456624671916004
2020-02-24,5.41428724162508
2020-02-25,5.458019801980187
2020-02-26,5.4472204054937885
2020-02-27,5.443208142201842
2020-02-28,5.426718661372658
2020-02-29,5.438925714285706
2020-03-01,5.447476547842399
2020-03-02,5.396103684382133
2020-03-03,5.404631012847314
2020-03-04,5.432012747400187
2020-03-05,5.436907356948228
2020-03-06,5.446259153135957
2020-03-07,5.450537876654459
2020-03-08,5.436911920764057
2020-03-09,5.467815533980566
2020-03-10,5.445503418272216
2020-03-11,5.443942424242438
2020-03-12,5.4327816809783815
2020-03-13,5.42906958561374
2020-03-14,5.439059097978212
2020-03-15,5.441183717193347
2020-03-16,5.443307328605204
2020-03-17,5.430527215730939
2020-03-18,5.451578421578429
2020-03-19,5.441008700380657
2020-03-20,5.441719234746611
2020-03-21,5.4380218749999925
2020-03-22,5.407100231749725
2020-03-23,5.417870065789469
2020-03-24,5.433139320516198
2020-03-25,5.436488677662846
2020-03-26,5.427245929253218
2020-03-27,5.42735417248114
2020-03-28,5.4188677320639185
2020-03-29,5.43534596057203
2020-03-30,5.439016901408445
2020-03-31,5.459094662341438
2020-04-01,5.4261607428754415
2020-04-02,5.408939735739606
2020-04-03,5.397053426875338
2020-04-04,5.440713121434398
2020-04-05,5.419561251086019
2020-04-06,5.441995486782719
2020-04-07,5.43610602713788
2020-04-08,5.406265182186242
2020-04-09,5.424463820926607
2020-04-10,5.397767070484582
2020-04-11,5.440343964978109
2020-04-12,5.420013345195738
2020-04-13,5.435647780584621
2020-04-14,5.450799635147451
2020-04-15,5.444773109243701
2020-04-16,5.441585325908939
2020-04-17,5.426408150851554
2020-04-18,5.435548849490765
2020-04-19,5.448308625336928
2020-04-20,5.455837821663686
2020-04-21,5.44074230877787
2020-04-22,5.46667217448777
2020-04-23,5.43588339745488
2020-04-24,5.4672533250850694
2020-04-25,5.4540555201020995
2020-04-26,5.477296055151283
2020-04-27,5.445203305785121
2020-04-28,5.457737386399263
2020-04-29,5.430627145085805
2020-04-30,5.439769100169771
2020-05-01,5.442595071493763
2020-05-02,5.489833001988073
2020-05-03,5.442614533965248
2020-05-04,5.469026100506436
2020-05-05,5.441178529754968
2020-05-06,5.4397162393162395
2020-05-07,5.455136350014984
2020-05-08,5.450607416879793
2020-05-09,5.438365527488869
2020-05-10,5.466215722120652
2020-05-11,5.440131004366826
2020-05-12,5.4725174825174845
2020-05-13,5.462318548387115
2020-05-14,5.495132653061213
2020-05-15,5.469353985644144
2020-05-16,5.481645947289897
2020-05-17,5.438855421686751
2020-05-18,5.474235785080792
2020-05-19,5.4506451612903275
2020-05-20,5.448489445910278
2020-05-21,5.486183712121222
2020-05-22,5.448515061518881
2020-05-23,5.485770890545306
2020-05-24,5.480399002493767
2020-05-25,5.4614855072463815
2020-05-26,5.466788929643216
2020-05-27,5.476041345263829
2020-05-28,5.482896253602305
2020-05-29,5.478091743119271
2020-05-30,5.4799392624729055
2020-05-31,5.478849028400592
2020-06-01,5.472808194984107
2020-06-02,5.443483429394821
2020-06-03,5.50715696465697
2020-06-04,5.470742081447976
2020-06-05,5.493655610444596
2020-06-06,5.48963636363636
2020-06-07,5.428522458628843
2020-06-08,5.525671100362767
2020-06-09,5.48701793721973
2020-06-10,5.472064191315307
2020-06-11,5.4930351225977585
2020-06-12,5.4753611691022765
2020-06-13,5.488878990348923
2020-06-14,5.513859808830217
2020-06-15,5.472587173100852
2020-06-16,5.427613049095611
2020-06-17,5.444244702665765
2020-06-18,5.416532258064549
2020-06-19,5.4467902439024245
2020-06-20,5.473228109733168
2020-06-21,5.46544367816093
2020-06-22,5.5087494572297055
2020-06-23,5.471627716277146
2020-06-24,5.416903534609735
2020-06-25,5.4273979397176575
2020-06-26,5.433703567488041
2020-06-27,5.458559966216229
2020-06-28,5.493475409836075
2020-06-29,5.500720260223047
2020-06-30,5.4316499442586545
2020-07-01,5.46729505100115
