date,daily_happiness
2019-12-31,5.693858267716535
2020-01-01,5.54643307086614
2020-01-02,5.53122273628553
2020-01-03,5.442382319173363
2020-01-04,5.521812998859752
2020-01-05,5.557859042553191
2020-01-06,5.47836043360433
2020-01-07,5.503567693201625
2020-01-08,5.442412513255563
2020-01-09,5.466851601262969
2020-01-10,5.540890454836646
2020-01-11,5.483798133022178
2020-01-12,5.51194816800715
2020-01-13,5.499260129183803
2020-01-14,5.51969316596932
2020-01-15,5.4690470914127465
2020-01-16,5.506363198458567
2020-01-17,5.526370619299084
2020-01-18,5.536736474694598
2020-01-19,5.571103179753403
2020-01-20,5.5027645788336965
2020-01-21,5.48347596153846
2020-01-22,5.500432484382517
2020-01-23,5.492884615384613
2020-01-24,5.468712306438468
2020-01-25,5.460278536318949
2020-01-26,5.468171866447716
2020-01-27,5.438819327731089
2020-01-28,5.444628623188426
2020-01-29,5.445998213488163
2020-01-30,5.469086737035335
2020-01-31,5.462457496136025
2020-02-01,5.438584153774031
2020-02-02,5.4341676168757225
2020-02-03,5.440027450980396
2020-02-04,5.457442528735626
2020-02-05,5.51000462107209
2020-02-06,5.519208801498143
2020-02-07,5.503649012567328
2020-02-08,5.525895078420766
2020-02-09,5.495380487804866
2020-02-10,5.495912147019283
2020-02-11,5.494320632638402
2020-02-12,5.476241421073875
2020-02-13,5.450502686108972
2020-02-14,5.497205882352956
2020-02-15,5.5170591647331735
2020-02-16,5.5052706185567
2020-02-17,5.4702047592695
2020-02-18,5.463307958477527
2020-02-19,5.46452180566183
2020-02-20,5.457618877368614
2020-02-21,5.501370695476012
2020-02-22,5.498344855632374
2020-02-23,5.471635750421585
2020-02-24,5.422829341317371
2020-02-25,5.467902927010001
2020-02-26,5.455718194254458
2020-02-27,5.451136634844881
2020-02-28,5.43479056047197
2020-02-29,5.446920332936972
2020-03-01,5.456895200783543
2020-03-02,5.402992501704161
2020-03-03,5.411560747663563
2020-03-04,5.441201264488931
2020-03-05,5.4467988567345555
2020-03-06,5.455484727755656
2020-03-07,5.458381147540982
2020-03-08,5.4459369202226995
2020-03-09,5.477049910873441
2020-03-10,5.454393251135637
2020-03-11,5.452597977243978
2020-03-12,5.439776099271663
2020-03-13,5.436146367809887
2020-03-14,5.446229508196729
2020-03-15,5.448835464146724
2020-03-16,5.450285853896743
2020-03-17,5.438253780017791
2020-03-18,5.45894002068251
2020-03-19,5.449314140558857
2020-03-20,5.449137191854242
2020-03-21,5.447460058689289
2020-03-22,5.413092224231477
2020-03-23,5.424874715261964
2020-03-24,5.440207650273251
2020-03-25,5.444041255084265
2020-03-26,5.434072992700722
2020-03-27,5.434429939077442
2020-03-28,5.426716524216516
2020-03-29,5.445952768729637
2020-03-30,5.446711566617853
2020-03-31,5.467424800491104
2020-04-01,5.4337604550016625
2020-04-02,5.416531986531991
2020-04-03,5.40315863228701
2020-04-04,5.451639414802077
2020-04-05,5.429843606255742
2020-04-06,5.450958164642373
2020-04-07,5.445159907682166
2020-04-08,5.414656084656078
2020-04-09,5.430914732865617
2020-04-10,5.403713876967063
2020-04-11,5.449151158994446
2020-04-12,5.431909262759933
2020-04-13,5.444410761652145
2020-04-14,5.459296354992076
2020-04-15,5.454402958788313
2020-04-16,5.4504109589041105
2020-04-17,5.434419784400762
2020-04-18,5.445865766481341
2020-04-19,5.458067019400344
2020-04-20,5.464147709566852
2020-04-21,5.448792951541849
2020-04-22,5.476812996889047
2020-04-23,5.44350077041603
2020-04-24,5.477473344103371
2020-04-25,5.4629386257505255
2020-04-26,5.489491730536507
2020-04-27,5.454055919917155
2020-04-28,5.467416502946946
2020-04-29,5.4386584174536114
2020-04-30,5.448672597864764
2020-05-01,5.451509194673432
2020-05-02,5.503119496855353
2020-05-03,5.452559300873904
2020-05-04,5.481828266228431
2020-05-05,5.45221721311473
2020-05-06,5.448578589330471
2020-05-07,5.464106808244841
2020-05-08,5.460367156208279
2020-05-09,5.449812426729191
2020-05-10,5.481069518716572
2020-05-11,5.450546218487398
2020-05-12,5.484583478563962
2020-05-13,5.472270327349533
2020-05-14,5.5087811831789
2020-05-15,5.481085918854423
2020-05-16,5.496295116772832
2020-05-17,5.454238683127567
2020-05-18,5.483355868036768
2020-05-19,5.460320445837706
2020-05-20,5.456721877156657
2020-05-21,5.496665569453591
2020-05-22,5.461340206185567
2020-05-23,5.50073200992555
2020-05-24,5.500067430883338
2020-05-25,5.473555933645243
2020-05-26,5.478311235170969
2020-05-27,5.485811332904072
2020-05-28,5.494901812688819
2020-05-29,5.493434146341448
2020-05-30,5.494869085898045
2020-05-31,5.495348219032426
2020-06-01,5.4844366197183065
2020-06-02,5.453785930408462
2020-06-03,5.524832962138097
2020-06-04,5.501670061099797
2020-06-05,5.520154559505408
2020-06-06,5.516212976022564
2020-06-07,5.4605518169583025
2020-06-08,5.54945133899412
2020-06-09,5.524475703324806
2020-06-10,5.491818181818178
2020-06-11,5.505180180180174
2020-06-12,5.489655172413795
2020-06-13,5.5011509949278
2020-06-14,5.5324733785092075
2020-06-15,5.483478543563074
2020-06-16,5.435933175835289
2020-06-17,5.454424937298465
2020-06-18,5.425235915492955
2020-06-19,5.455630737844284
2020-06-20,5.484671936758882
2020-06-21,5.478301517376385
2020-06-22,5.52516321839081
2020-06-23,5.4849761801645585
2020-06-24,5.425717054263559
2020-06-25,5.438368167202574
2020-06-26,5.442838933951336
2020-06-27,5.470857525681108
2020-06-28,5.511206795547742
2020-06-29,5.517957572767653
2020-06-30,5.441253416634127
2020-07-01,5.479081510934382
2020-07-02,5.509682644628105
